Type,Name,Latitude,Longitude
ปั๊มน้ำมัน,ปั๊มน้ำมันเชลล์,17.412973,102.816407
ปั๊มน้ำมัน,ปั๊มน้ำมันเชลล์,17.396531,102.796937
ปั๊มน้ำมัน,ปั๊มน้ำมันเชลล์,17.408919,102.771939
ปั๊มน้ำมัน,ปั๊มน้ำมันเชลล์,17.400048,102.766507
ปั๊มน้ำมัน,ปั๊มน้ำมันคาลเท็กซ์,17.397538,102.796132
ปั๊มน้ำมัน,ปั๊มน้ำมันคาลเท็กซ์,17.397822,102.796065
ปั๊มน้ำมัน,ปั๊มน้ำมันคาลเท็กซ์,17.401609,102.766355
ปั๊มน้ำมัน,ปั๊มน้ำมันคาลเท็กซ์,17.397822,102.796065
ปั๊มน้ำมัน,ปั๊มน้ำมันเอสโซ่,17.421647,102.790525
ปั๊มน้ำมัน,ปั๊มน้ำมันบางจาก,17.41935,102.791023
ปั๊มน้ำมัน,ปั๊มน้ำมัน ปตท.,17.40521,102.797467
ปั๊มน้ำมัน,ปั๊มน้ำมัน ปตท.,17.402406,102.820895
ปั๊มน้ำมัน,ปั๊มน้ำมันบางจาก,17.420836,102.813171
ปั๊มน้ำมัน,ปั๊มน้ำมัน ปตท.,17.402993,102.766469
ปั๊มน้ำมัน,ปั๊มน้ำมัน ปตท.,17.391048,102.771199
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.391554,102.770742
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.421044,102.813151
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.41052,102.817556
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.387075,102.825335
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.405525,102.797874
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.425721,102.777656
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.383054,102.754015
ปั๊มน้ำมัน,ปั๊มน้ำมันพีที,17.38297,102.75416
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.406063,102.779105
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.415183,102.776716
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.400318,102.800539
ปั๊มน้ำมัน,ปั๊มน้ำมันบางจาก,17.400412,102.800376
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.4025,102.803838
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.403168,102.803964
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.404398,102.802184
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.405507,102.800774
สถานีชาร์จไฟฟ้ายานพาหนะ, ,17.41423,102.808782
ร้านสะดวกซื้อ,ซีเจ มอร์ สาขาโนนหวาย,17.150581,102.577766
ร้านสะดวกซื้อ,ซีเจ มอร์ สาขาหนองวัวซอ,17.271111,102.600349
ร้านสะดวกซื้อ,ซีเจ มอร์ สาขาถนนอดุลยเดช,17.412512,102.799873
ร้านสะดวกซื้อ,ซีเจ มอร์ สาขาตลาดบ้านห้วย,17.417822,102.791122
ร้านสะดวกซื้อ,ซีเจ มอร์ สาขาซอยจินตคาม,17.395226,102.790802
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ปตท. โนนทัน หนองบัวลำภู (รหัสสาขา: 22408),17.261232,102.587978
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ปตท. ถนนศรีสุข อุดรธานี (รหัสสาขา: 22674),17.404028,102.789097
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา อุดรทาวน์ (รหัสสาขา: 23492),17.403658,102.803935
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ชุมชนหนองวัวซอ (รหัสสาขา: 19127),17.283219,102.603115
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา หนองวัวซออุดร (รหัสสาขา: 18637),17.279229,102.607769
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา โรงพยาบาลอุดรธานี (รหัสสาขา: 16487),17.416231,102.779192
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา รพ.กรุงเทพอุดร (รหัสสาขา: 17733),17.407045,102.802667
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา โนนหวาย (รหัสสาขา: 16358),17.150332,102.577801
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ถนนศรีชมชื่น (รหัสสาขา: 18764),17.406428,102.778473
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ถนนวัฒนานุวงศ์ (รหัสสาขา: 17983),17.411775,102.79496
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ทุ่งศรีเมือง (รหัสสาขา: 14784),17.411749,102.787563
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ชุมชนทองใหญ่ (รหัสสาขา: 14942),17.404402,102.802414
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ปตท. หนองวัวซอ (รหัสสาขา: 14530),17.263969,102.59943
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ถนนอำเภอ (อุดรธานี) (รหัสสาขา: 13917),17.396929,102.78711
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา แอลพีเอ็น อุดร-โพศรี (รหัสสาขา: 11741),17.398478,102.804387
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา บ้านโนน 2 (รหัสสาขา: 07180),17.419164,102.785336
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ซอยยูค่อน (รหัสสาขา: 03721),17.391984,102.802787
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ดอนอุดม (รหัสสาขา: 03279),17.395237,102.79067
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา นเรศวร (อุดรธานี) (รหัสสาขา: 03056),17.402872,102.784915
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ตลาดโพศรี (รหัสสาขา: 02737),17.414095,102.7762
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ห้าแยกสแควร์ (รหัสสาขา: 01587),17.405266,102.793527
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ราชภัฏอุดรธานี (รหัสสาขา: 01204),17.398479,102.795518
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา บ.ข.ส.อุดรธานี (รหัสสาขา: 01152),17.403542,102.799738
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา อดุลยเดช (รหัสสาขา: 01134),17.412886,102.799888
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ประชารักษา (รหัสสาขา: 01126),17.40929,102.775445
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา หลัง รพ.อุดรธานี (รหัสสาขา: 11704),17.417497,102.778651
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ปตท. ประจักษ์ศิลปาคม (รหัสสาขา: 09710),17.405111,102.797777
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา หนองวัวซอ (รหัสสาขา: 08275),17.270172,102.60022
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ตลาดบ้านเหล่า (รหัสสาขา: 08258),17.421534,102.799317
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา ปตท. ถนนทหาร (รหัสสาขา: 07746),17.393531,102.798034
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา สัมพันธมิตร (รหัสสาขา: 05414),17.407582,102.802608
ร้านสะดวกซื้อ,เซเว่นอิเลฟเว่น สาขา หนองประจักษ์ (รหัสสาขา: 05412),17.417725,102.780498
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น 8258 ตลาดบ้านเหล่า,17.421541,102.799343
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น ลุมพินี เพลส ยูดี-โพศรี,17.398157,102.804842
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น อีเลเวน,17.419151,102.785425
ห้างสรรพสินค้า,เซ็นทรัลพลาซา อุดรธานี,17.40575,102.799931
โรงแรม/ที่พัก,เซ็นทารา โฮเต็ล แอนด์ คอนเวนชั่น เซ็นเตอร์ อุดรธานี,17.40611,102.80021
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น สาขาซอยยูค่อน,17.392028,102.802702
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น สาขานเรศวร,17.40301,102.784705
ร้านสะดวกซื้อ,เซเว่นอีเลฟเว่น สาขาดอนอุดม,17.395378,102.790364
ธนาคาร,ธนาคารกรุงไทย สาขาตึกคอม แลนด์มาร์ค อุดรธานี,17.41117,102.79341
ห้างสรรพสินค้า,ตึกคอมอุดรธานี,17.408647,102.79199
โรงแรม/ที่พัก,ณัฐฐาศิริ เพลส,17.402357,102.777808
โรงแรม/ที่พัก,ดิโอทู  อุดรธานี,17.419934,102.800731
โรงแรม/ที่พัก,เดอะ รูม อุดรธานี,17.391842,102.804201
โรงแรม/ที่พัก,ณิชกุล แมนชั่น,17.408228,102.795793
โรงแรม/ที่พัก,ดิ โอลด์ อินน์,17.405328,102.801818
โรงแรม/ที่พัก,เดอะ สิริ เพลส,17.393691,102.787391
โรงแรม/ที่พัก,เดอะ แกรนด์ อพาร์ตเมนท์ (อุดรธานี ),17.390425,102.795276
โรงแรม/ที่พัก,เดลิโอ บูทิค โฮเต็ล,17.397203,102.786819
โรงแรม/ที่พัก,เดอะ วัน เรสซิเดนซ์-อุดรธานี,17.405085,102.798019
ธนาคาร,ธนาคารกรุงไทย สาขา อุดรธานี,17.417999,102.791065
ธนาคาร,ธนาคารกรุงไทย สาขา ศาลากลางจังหวัดอุดรธานี,17.41532,102.786574
ธนาคาร,ธนาคารกรุงไทย สาขา ยูดี ทาวน์,17.405799,102.804499
ธนาคาร,ธนาคารกรุงไทย สาขา ถนนอุดรดุษฎี,17.405758,102.793779
ธนาคาร,ธนาคารกสิกรไทย สาขาถนนประจักษ์ อุดรธานี,17.405437,102.797073
ธนาคาร,ธนาคารกสิกรไทย สาขาตลาดบ้านห้วย อุดรธานี,17.421805,102.791113
ธนาคาร,ธนาคารกสิกรไทย สาขาอุดรธานี,17.407403,102.788585
ธนาคาร,ธนาคารไทยพาณิชย์ สาขาอุดรธานี,17.407607,102.792906
ธนาคาร,ธนาคารไทยพาณิชย์ สาขาถนนโพศรี (อุดรธานี),17.410007,102.783115
ธนาคาร,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขา อุดรธานี,17.410075,102.792746
ธนาคาร,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขา หนองวัวซอ,17.272762,102.601511
ธนาคาร,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขา โนนหวาย,17.155115,102.577107
ธนาคาร,ธนาคารกรุงไทย สาขาถนนหมากแข้ง,17.409438,102.787253
ธนาคาร,ธนาคารกรุงไทย สาขาอุดรธานี,17.417999,102.791065
ธนาคาร,ธนาคารกรุงไทย สาขาศาลากลางจังหวัดอุดรธานี,17.415171,102.787417
ธนาคาร,ธนาคารกรุงไทย สาขายูดี ทาวน์,17.405799,102.804499
ธนาคาร,ธนาคารกรุงไทย สาขาถนนอุดรดุษฎี,17.405758,102.793779
ธนาคาร,ธนาคารออมสินสาขาโพศรี,17.400177,102.801574
ธนาคาร,ธนาคารออมสินสาขาอุดรธานี,17.411406,102.788475
ธนาคาร,ธนาคารออมสินสาขายูดี ทาวน์ อุดรธานี,17.402088,102.804413
ธนาคาร,ธนาคารออมสินสาขาประชารักษา,17.409158,102.775921
ธนาคาร,ธนาคารกสิกรไทย สาขายูดีทาวน์ อุดรธานี,17.402128,102.804324
ธนาคาร,ธนาคารออมสิน สาขายูดีทาวน์ อุดรธานี,17.402017,102.804303
ธนาคาร,ธนาคารเกียรตินาคิน จก (มหาชน) สาขาอุดรธานี,17.421791,102.790717
ธนาคาร,ธนาคารซีไอเอ็มบี ไทย สาขา อุดรธานี,17.402724,102.797163
ธนาคาร,ธนาคารกรุงไทย สาขามหาวิทยาลัยราชภัฏอุดรธานี,17.39745,102.79191
ธนาคาร,ธนาคารกรุงไทย สาขาตึกคอม แลนด์มาร์ค อุดรธานี,17.41117,102.79341
ธนาคาร,ธนาคารกรุงไทย สาขายูดี ทาวน์,17.405799,102.804499
ธนาคาร,ธนาคารกรุงไทย สาขาศาลากลางจังหวัดอุดรธานี,17.415244,102.786611
ธนาคาร,ธนาคารกรุงไทย สาขาถนนหมากแข้ง,17.409438,102.787253
ธนาคาร,ธนาคารกรุงไทย สาขาถนนอุดรดุษฎี,17.405758,102.793779
ธนาคาร,ธนาคารกรุงไทย สาขาอุดรธานี,17.417999,102.791065
ธนาคาร,ธนาคารอิสลามแห่งประเทศไทย สาขายูดี ทาวน์ (อุดรธานี),17.402162,102.804523
ธนาคาร,ธนาคารแลนด์ แอนด์ เฮ้าส์ สาขาอุดรธานี,17.40411,102.7946
ธนาคาร,ธนาคารเกียรตินาคิน,17.419437,102.790949
โรงพยาบาล,โรงพยาบาลกรุงเทพอุดร,17.40659,102.803587
โรงแรม/ที่พัก,โรงแรมเจริญโฮเต็ล,17.401536,102.800436
โรงพยาบาล,โรงพยาบาลเอกอุดร,17.397789,102.80307
โรงแรม/ที่พัก,โรงแรมศิวิไลซ์ (Civilize Hotel Udonthani),17.403512,102.793243
โรงแรม/ที่พัก,โรงแรมเดอะเคป,17.394544,102.801391
โรงพยาบาล,โรงพยาบาลอุดรธานี,17.415116,102.780326
สวนสาธารณะ,ทุ่งศรีเมือง,17.412135,102.786337
สวนสาธารณะ,หนองประจักษ์,17.419208,102.780276
สถานที่ท่องเที่ยว,พิพิธภัณฑ์เมืองอุดรธานี,17.411992,102.781861
โรงแรม/ที่พัก,Prajaktra City Hostel,17.404278,102.789824
ปั๊มน้ำมัน,ปั๊มน้ำมัน ปตท.,17.404315,102.788948
สถานที่ราชการ,ศาลากลางจังหวัดอุดรธานี,17.414514,102.788397
สถานที่ราชการ,สถานีตำรวจภูธรเมืองอุดรธานี,17.405753,102.78768
สถานที่ราชการ,สำนักงานที่ดินจังหวัดอุดรธานี,17.412202,102.780686
สถานศึกษา,มหาวิทยาลัยราชภัฏอุดรธานี,17.401703,102.790821
สถานศึกษา,วิทยาลัยสารพัดช่างอุดรธานี,17.398609,102.788602
สถานศึกษา,โรงเรียนอุดรพิทยานุกูล,17.406314,102.782505
สถานศึกษา,โรงเรียนสตรีราชินูทิศ,17.408622,102.778504
สถานศึกษา,โรงเรียนอนุบาลอุดรธานี,17.408233,102.779718
สถานศึกษา,วิทยาลัยอาชีวศึกษาอุดรธานี,17.409994,102.779383
สถานศึกษา,วิทยาลัยเทคนิคอุดรธานี,17.416034,102.788888
สนามบิน,ท่าอากาศยานนานาชาติอุดรธานี,17.386933,102.77533
สถานศึกษา,โรงเรียนอุดรพิชัยรักษ์พิทยา,17.390731,102.769967
ที่ท่องเที่ยว,ยูดี ทาวน์ อุดรธานี,17.403293,102.804689
โรงแรม/ที่พัก,Hotel MOCO,17.402635,102.804403
ห้างสรรพสินค้า,โลตัส ยูดี ทาวน์,17.401295,102.804673
ห้างสรรพสินค้า,โลตัส พลัส อุดร,17.430935,102.786753
สถานศึกษา,โรงเรียนดอนบอสโกวิทยา,17.417827,102.803169
ตลาดสด,ตลาดสดเทศบาล 1,17.407489,102.7858
ตลาดสด,ตลาดสดเทศบาล 2,17.407329,102.783785
โรงพยาบาล,โรงพยาบาลค่ายประจักษ์ศิลปาคม,17.370076,102.811752
ร้านอาหาร/เครื่องดื่ม,บ้านข้าวแกง,17.403561,102.785978
ร้านอาหาร/เครื่องดื่ม,มาดามพาเท่ห์,17.407632,102.78888
ร้านอาหาร/เครื่องดื่ม,ร้านเรื่องของปู,17.404448,102.786524
ร้านอาหาร/เครื่องดื่ม,นวยเนื้อกะทะ,17.402746,102.791208
ร้านอาหาร/เครื่องดื่ม,บุฟเฟ่ต์แจ่วฮ้อน บาย เดอะ วู๊ดสวิง,17.404248,102.791235
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารประสพโชค,17.403805,102.790111
ร้านอาหาร/เครื่องดื่ม,ร้านกาแฟรุ่งโรจน์,17.406732,102.788956
ร้านอาหาร/เครื่องดื่ม,ร้านข้าวคั่วหัวหอม,17.401443,102.784733
ร้านอาหาร/เครื่องดื่ม,ร้านครัวมุสลิม อีสาน,17.401924,102.787054
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารไทยมุสลิม,17.40198,102.787012
ร้านอาหาร/เครื่องดื่ม,ร้านเอมโอช,17.408819,102.790809
ร้านอาหาร/เครื่องดื่ม,ร้านมงคลลาบหมู,17.409474,102.78721
ร้านอาหาร/เครื่องดื่ม,ร้านก๋วยเตี๋ยวสองพี่น้อง,17.407789,102.787514
ร้านอาหาร/เครื่องดื่ม,ร้านลาบหนวด,17.402288,102.786726
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารอาบัยหลิน,17.401995,102.786941
ร้านอาหาร/เครื่องดื่ม,ร้านผัดไทสีลม,17.405157,102.79074
ร้านอาหาร/เครื่องดื่ม,ร้านวูฟเดน (wolf's Den),17.404693,102.787377
ร้านอาหาร/เครื่องดื่ม,ร้านอินดี้กระทะร้อน,17.408764,102.792359
ร้านอาหาร/เครื่องดื่ม,ร้านชัยเซ็ง (เกาเหลาลุงหมวกแดง),17.408967,102.790423
ร้านอาหาร/เครื่องดื่ม,ร้านก๋วยเตี๋ยวเซียงไฮ้,17.406776,102.793485
ร้านอาหาร/เครื่องดื่ม,ร้านตี๋ไฮ้,17.402382,102.785266
ร้านอาหาร/เครื่องดื่ม,ร้านกาแฟบ้านจิก,17.401815,102.784958
ร้านอาหาร/เครื่องดื่ม,ร้าน ฮ.โภชนา,17.409884,102.786464
ร้านอาหาร/เครื่องดื่ม,ร้าน วูฟเดน,17.404655,102.787315
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารญี่ปุ่น ลิตเติ้ล โอซาก้า อุดรธานี,17.404107,102.790025
ร้านอาหาร/เครื่องดื่ม,บะหมี่จ่าเปี๊ยก,17.401587,102.787727
ร้านอาหาร/เครื่องดื่ม,ร้านบ้านไอติม อุดรธานี,17.402075,102.784875
ร้านอาหาร/เครื่องดื่ม,ร้านอาหาร โดส แฟคตอรี่ สาขา 2,17.40175,102.784688
ร้านอาหาร/เครื่องดื่ม,ร้าน โดส เอสเปรสโซ่ (ประเทศไทย) สาขา1,17.404078,102.789896
ร้านอาหาร/เครื่องดื่ม,ร้าน คอฟฟี่ ปัตเต้,17.407666,102.788896
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารญี่ปุ่นคิน โน บุตะ,17.404716,102.79147
ร้านอาหาร/เครื่องดื่ม,ร้านอาหารแม่หยา,17.403986,102.790187
ร้านอาหาร/เครื่องดื่ม,คิงส์โอชา,17.407482,102.79068
สถานที่ท่องเที่ยว,ตลาดเวียดนามทาวน์อุดรธานี,17.403057,102.789558
ร้านอาหาร/เครื่องดื่ม,แชมป์เนื้อเกาหลี,17.403569,102.790911
ร้านซักอบผ้า,WashXpress ศรีสุข,17.403808,102.788725
ร้านซักอบผ้า,าวาอิ้ : ร้านทุกอย่าง10บาท x สะดวกซัก ซักผ้า อบผ้า ซักอบ,17.406134,102.785308
ร้านซักอบผ้า,Brownyซักอบ24ชั่วโมง,17.402215,102.784879
ร้านซักอบผ้า,WashXpress พรหมประกาย,17.403191,102.773892
